File_Path,Original_Text,Target_Translation
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Alex.json,Alex,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Evgeniy.json,Evgeniy,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_GenghisKhan.json,Genghis Khan,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Max.json,Max,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Oksana.json,Oksana,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_OldMan.json,Old Man,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Petya.json,Petya,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Priest.json,Priest,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Serdar.json,Serdar,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Sergey.json,Sergey,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Tamir.json,Tamir,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Tasia.json,Tasia,
Impact\Content\Assets\Audio\DialogueVoices\DV_Speaker_Yana.json,Yana,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Generic\PlayerBark_General_Narrative_CurseDamn_Sub.json,Damn.,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Generic\PlayerBark_General_Narrative_CurseDamnIt_Sub.json,Damn it!,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Generic\PlayerBark_General_Narrative_CurseHell_Sub.json,Hell.,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Generic\PlayerBark_General_Narrative_CurseShit_Sub.json,Shit.,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Generic\PlayerBark_General_Narrative_Ohno_Sub.json,Oh no.,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Spiders\PlayerBark_General_Narrative_Spiders_Sub.json,Spiders?,
Impact\Content\Assets\Audio\VO\PlayerVO\Barks_Spiders\PlayerBark_General_Narrative_SpiderScream_Sub.json,Aaahh!,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\Disabled\PlayerBark_Inventory_Disabled_01_Sub.json,They took my backpack.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\Disabled\PlayerBark_Inventory_Disabled_02_Sub.json,They took my backpack.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\Disabled\PlayerBark_Inventory_Disabled_03_Sub.json,They took my backpack.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_ICantCarryAnyMore_1_Sub.json,I can’t carry any more.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_ICantCarryAnyMore_2_Sub.json,I can’t carry any more.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_ICantCarryAnyMoreItems_1_Sub.json,I can’t carry any more items.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_ICantCarryAnyMoreItems_2_Sub.json,I can’t carry any more items.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_ImFullOnThese_1_Sub.json,I’m full on these.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_ImFullOnThese_2_Sub.json,I’m full on these.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_MyBagIsFull_1_Sub.json,My bag is full.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItem\PlayerBark_Inventory_Full_MyBagIsFull_2_Sub.json,My bag is full.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemBlowgun\PlayerBark_Inventory_Full_ICantCarryAnyMoreDarts_1_Sub.json,I can’t carry any more darts.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemBlowgun\PlayerBark_Inventory_Full_ICantCarryAnyMoreDarts_2_Sub.json,I can’t carry any more darts.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemFilters\PlayerBark_Inventory_Full_ICantCarryAnyMoreFilters_1_Sub.json,I can’t carry any more filters.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemFilters\PlayerBark_Inventory_Full_ICantCarryAnyMoreFilters_2_Sub.json,I can’t carry any more filters.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemGrenades\PlayerBark_Inventory_Full_ICantCarryAnyMoreGrenades_1_Sub.json,I can’t carry any more grenades.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemGrenades\PlayerBark_Inventory_Full_ICantCarryAnyMoreGrenades_2_Sub.json,I can’t carry any more grenades.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemPistol\PlayerBark_Inventory_Full_ICantCarryAnyMoreClips_1_Sub.json,I can’t carry any more clips.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemPistol\PlayerBark_Inventory_Full_ICantCarryAnyMoreClips_2_Sub.json,I can’t carry any more clips.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemRifle\PlayerBark_Inventory_Full_ICantCarryAnyMoreMagazines_1_Sub.json,I can’t carry any more magazines.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemRifle\PlayerBark_Inventory_Full_ICantCarryAnyMoreMagazines_2_Sub.json,I can’t carry any more magazines.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemShotgun\PlayerBark_Inventory_Full_ICantCarryAnyMoreShells_1_Sub.json,I can’t carry any more shells.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemShotgun\PlayerBark_Inventory_Full_ICantCarryAnyMoreShells_2_Sub.json,I can’t carry any more shells.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemSyringes\PlayerBark_Inventory_Full_ICantCarryAnyMoreVials_1_Sub.json,I can’t carry any more vials.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemSyringes\PlayerBark_Inventory_Full_ICantCarryAnyMoreVials_2_Sub.json,I can’t carry any more vials.,
